"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Search Functionality on Flipkart","Search for various Vivo mobile models and verify search results","0","1","1","0","0"
"","Search Functionality on Flipkart","Search for various Samsung mobile models and verify search results","0","0","2","0","0"
